company,price,change
Microsoft Corporation (MSFT),404.06,(-0.61%)
International Business Machines Corporation (IBM),187.64,(+0.41%)
General Electric Company (GE),149.16,(+0.53%)
Union Pacific Corporation (UNP),246.59,(-1.58%)
Costco Wholesale Corporation (COST),723.99,(-0.07%)
McDonald's Corporation (MCD),292.02,(+0.05%)
Visa Inc. (V),278.56,(-0.86%)
Walmart Inc. (WMT),170.36,(+0.63%)
The Walt Disney Company (DIS),111.60,(-0.76%)
3M Company (MMM),91.25,(-1.22%)
Intel Corporation (INTC),43.51,(-1.23%)
American Express Company (AXP),212.56,(+0.01%)
Apple Inc. (AAPL),182.31,(-0.84%)
The Boeing Company (BA),203.89,(-0.70%)
"Cisco Systems, Inc. (CSCO)",48.44,(-1.26%)
"The Goldman Sachs Group, Inc. (GS)",384.44,(-0.25%)
JPMorgan Chase & Co. (JPM),179.03,(-0.47%)
"Salesforce, Inc. (CRM)",289.72,(-0.76%)
Verizon Communications Inc. (VZ),40.49,(-0.25%)
